game_id,league_id,season,date,home_team_id,away_team_id,home_goals,away_goals,home_prob,draw_prob,away_prob,home_goals_half_time,away_goals_half_time
633,2,2015,10/24/2015,100,106,1,1,0.103,0.2446,0.6524,0,0
10863,5,2018,2/13/2019,165,168,0,1,0.0889,0.2587,0.6524,0,0
9995,4,2018,9/16/2018,138,142,0,2,0.1432,0.2042,0.6526,0,2
948,2,2016,8/28/2016,116,95,2,2,0.1564,0.1909,0.6527,0,1
16055,5,2020,3/21/2021,178,161,2,4,0.1118,0.2355,0.6527,0,2
783,2,2015,2/7/2016,94,106,3,3,0.1459,0.2013,0.6528,2,1
10085,4,2018,11/25/2018,147,142,1,1,0.1113,0.2356,0.6531,0,0
14912,4,2020,12/20/2020,261,142,0,2,0.0696,0.2773,0.6531,0,1
108,1,2015,8/23/2015,72,88,0,2,0.1063,0.2405,0.6532,0,0
1408,4,2015,8/24/2015,155,156,1,3,0.1149,0.2318,0.6533,0,2
8091,4,2017,2/3/2018,153,154,2,1,0.1041,0.2424,0.6535,1,0
9567,1,2018,5/12/2019,90,81,1,4,0.1565,0.1899,0.6536,0,2
9561,1,2018,5/5/2019,219,89,1,1,0.127,0.2193,0.6537,0,1
4498,1,2014,3/14/2015,92,88,1,0,0.0679,0.2781,0.654,0,0
11961,1,2019,6/28/2020,90,74,1,3,0.087,0.2589,0.6541,0,1
5907,5,2014,4/18/2015,179,174,0,1,0.1195,0.2263,0.6542,0,1
12458,3,2019,10/5/2019,205,125,1,2,0.1397,0.206,0.6543,1,2
15621,2,2020,1/31/2021,116,104,1,1,0.1201,0.2253,0.6546,0,0
1178,3,2015,1/23/2016,120,119,1,1,0.1212,0.2241,0.6547,1,0
1880,5,2015,8/15/2015,175,176,1,1,0.0965,0.2488,0.6547,0,0
16057,5,2020,4/4/2021,177,163,2,2,0.1091,0.2361,0.6548,0,0
15849,5,2020,11/8/2020,170,171,1,2,0.1056,0.2396,0.6548,0,1
10631,3,2018,5/11/2019,121,122,3,4,0.1294,0.2157,0.6549,1,0
15555,2,2020,12/20/2020,113,97,1,1,0.133,0.212,0.655,0,0
15528,2,2020,12/13/2020,116,106,1,3,0.1291,0.2159,0.655,1,0
2150,5,2015,3/5/2016,167,175,0,0,0.0711,0.2739,0.655,0,0
7433,1,2017,3/31/2018,72,88,1,3,0.118,0.2269,0.6551,0,3
7336,1,2017,1/2/2018,74,78,1,2,0.09,0.2547,0.6553,1,0
10130,4,2018,1/6/2019,142,148,1,2,0.1281,0.2162,0.6557,1,2
3840,3,2016,4/22/2017,130,129,2,3,0.1143,0.2298,0.6559,1,1
7982,4,2017,11/5/2017,151,223,1,2,0.1013,0.2428,0.6559,0,0
3621,2,2016,3/12/2017,114,99,1,3,0.104,0.24,0.656,0,1
8706,5,2017,11/29/2017,167,163,1,2,0.0839,0.26,0.6561,1,0
5232,3,2014,3/1/2015,123,131,3,5,0.1394,0.2043,0.6563,3,2
14221,5,2020,9/27/2020,235,210,1,1,0.089,0.2547,0.6563,0,1
3323,5,2016,10/29/2016,175,171,1,1,0.0751,0.2685,0.6564,1,1
4820,2,2014,5/30/2015,107,111,1,3,0.1449,0.1986,0.6565,1,2
5857,5,2014,5/9/2015,209,177,2,3,0.1363,0.2072,0.6565,1,1
2703,1,2016,11/19/2016,78,88,1,2,0.0938,0.2497,0.6565,0,1
4177,5,2016,2/25/2017,160,176,2,3,0.095,0.2482,0.6568,0,1
12084,4,2019,9/28/2019,147,146,0,1,0.1283,0.2143,0.6574,0,1
5214,3,2014,4/18/2015,135,125,2,3,0.1465,0.196,0.6575,0,2
777,2,2015,2/3/2016,96,105,0,2,0.1002,0.2423,0.6575,0,2
4937,2,2014,2/14/2015,104,110,1,3,0.1167,0.2255,0.6578,0,2
3865,3,2016,5/6/2017,126,119,1,1,0.0912,0.2509,0.6579,0,0
4628,1,2014,12/22/2014,85,80,0,2,0.0946,0.2474,0.658,0,1
3956,4,2016,2/26/2017,143,148,1,2,0.1275,0.2144,0.6581,0,0
12198,4,2019,12/21/2019,239,138,0,2,0.0943,0.2476,0.6581,0,1
8194,4,2017,4/15/2018,137,150,1,2,0.1354,0.2062,0.6584,0,1
98,1,2015,8/16/2015,78,83,1,2,0.1303,0.2113,0.6584,1,1
15668,2,2020,3/3/2021,110,95,1,2,0.0867,0.2549,0.6584,0,0
9575,1,2018,5/12/2019,92,83,1,3,0.1514,0.1901,0.6585,0,0
662,2,2015,11/7/2015,111,107,0,0,0.0842,0.2571,0.6587,0,0
5682,4,2014,1/30/2015,145,139,1,2,0.1336,0.2076,0.6588,1,1
10237,4,2018,3/30/2019,158,143,0,4,0.1227,0.2182,0.6591,0,2
5315,3,2014,12/6/2014,133,124,0,4,0.1145,0.2264,0.6591,0,3
12163,4,2019,11/30/2019,158,150,1,2,0.087,0.2537,0.6593,0,0
9388,1,2018,12/29/2018,82,229,1,3,0.0684,0.2722,0.6594,1,0
7844,2,2017,4/29/2018,97,111,1,2,0.0894,0.2511,0.6595,0,2
105,1,2015,8/22/2015,75,82,1,1,0.1213,0.2191,0.6596,0,0
12841,5,2019,11/23/2019,178,170,2,1,0.1239,0.2164,0.6597,2,0
3408,1,2016,3/4/2017,76,78,0,2,0.0825,0.2575,0.66,0,0
11673,1,2019,8/31/2019,74,89,1,1,0.1186,0.2211,0.6603,0,1
7494,1,2017,5/13/2018,219,83,0,1,0.1362,0.2034,0.6604,0,1
3538,2,2016,1/15/2017,110,98,2,1,0.1176,0.2218,0.6606,1,0
10884,5,2018,2/17/2019,176,174,2,1,0.1108,0.2286,0.6606,1,0
15839,5,2020,10/31/2020,168,161,0,3,0.1306,0.2087,0.6607,0,0
4467,1,2014,4/19/2015,86,82,1,3,0.1209,0.2184,0.6607,0,1
12945,5,2019,2/8/2020,170,235,1,3,0.1124,0.2269,0.6607,1,1
474,1,2016,8/20/2016,84,91,0,2,0.135,0.2041,0.6609,0,0
3437,1,2016,4/1/2017,74,73,0,0,0.1325,0.2065,0.661,0,0
4189,5,2016,3/4/2017,162,175,0,0,0.0651,0.2738,0.6611,0,0
157,1,2015,10/3/2015,80,74,1,3,0.1026,0.2361,0.6613,1,1
12056,4,2019,9/15/2019,152,155,0,2,0.056,0.2822,0.6618,0,1
7846,2,2017,4/29/2018,222,99,3,3,0.1379,0.2002,0.6619,1,1
7284,1,2017,12/13/2017,86,72,0,1,0.084,0.2541,0.6619,0,1
5508,4,2014,4/4/2015,208,151,1,4,0.1249,0.213,0.6621,0,2
13285,2,2019,1/19/2020,243,106,1,1,0.132,0.2058,0.6622,0,0
14513,1,2020,11/8/2020,76,82,0,1,0.1207,0.2169,0.6624,0,0
12653,3,2019,5/27/2020,136,122,2,2,0.1004,0.2372,0.6624,1,1
5868,5,2014,5/16/2015,169,174,2,1,0.1362,0.2013,0.6625,1,1
10996,5,2018,5/11/2019,181,225,2,1,0.0952,0.2422,0.6626,1,0
9722,2,2018,12/9/2018,104,110,3,3,0.129,0.2083,0.6627,0,0
1401,4,2015,8/22/2015,141,142,1,0,0.0732,0.2641,0.6627,1,0
1131,3,2015,11/21/2015,132,119,1,3,0.109,0.2282,0.6628,1,2
15938,5,2020,1/9/2021,210,225,0,1,0.1018,0.2354,0.6628,0,1
3536,2,2016,1/15/2017,99,95,0,1,0.1304,0.2066,0.663,0,1
14644,1,2020,1/30/2021,72,86,0,2,0.1367,0.2001,0.6632,0,0
7285,1,2017,12/13/2017,74,75,1,4,0.1254,0.2113,0.6633,0,3
13280,2,2019,1/19/2020,97,94,1,1,0.1322,0.2044,0.6634,1,0
11671,1,2019,8/25/2019,73,88,1,3,0.1625,0.1736,0.6639,1,2
15969,5,2020,1/31/2021,179,161,3,2,0.1436,0.1921,0.6643,1,1
12498,3,2019,11/8/2019,134,120,1,2,0.104,0.2315,0.6645,1,0
10216,4,2018,3/1/2019,145,223,0,2,0.1074,0.228,0.6646,0,1
9969,4,2018,8/25/2018,158,153,0,0,0.1037,0.2311,0.6652,0,0
289,1,2015,1/14/2016,87,83,3,3,0.1365,0.1982,0.6653,2,2
11838,1,2019,12/28/2019,86,72,1,2,0.1581,0.1764,0.6655,0,1
13218,2,2019,11/23/2019,113,106,0,3,0.0946,0.2394,0.666,0,2
14719,1,2020,3/4/2021,87,80,0,1,0.0629,0.271,0.6661,0,1
7674,2,2017,12/23/2017,111,107,0,2,0.1233,0.2103,0.6664,0,1
15583,2,2020,1/6/2021,102,106,2,1,0.1224,0.2108,0.6668,2,0
10149,4,2018,1/20/2019,145,140,2,2,0.1136,0.2194,0.667,2,1
8791,5,2017,1/27/2018,175,165,2,1,0.0907,0.2423,0.667,1,1
512,1,2016,9/24/2016,93,82,1,2,0.0804,0.2526,0.667,0,2
5490,4,2014,5/17/2015,206,145,1,2,0.1296,0.2033,0.6671,0,1
8429,3,2017,1/20/2018,131,132,1,3,0.1196,0.2128,0.6676,0,2
180,1,2015,10/25/2015,87,74,1,1,0.0977,0.2344,0.6679,0,0
13392,2,2019,7/8/2020,101,105,1,2,0.096,0.2361,0.6679,0,1
4906,2,2014,3/16/2015,113,96,0,2,0.0866,0.2455,0.6679,0,0
5928,5,2014,3/1/2015,171,161,0,0,0.0649,0.2672,0.6679,0,0
14198,5,2020,9/13/2020,235,163,2,4,0.1298,0.2021,0.6681,1,2
12842,5,2019,11/23/2019,241,168,1,1,0.0962,0.2357,0.6681,0,1
6070,5,2014,12/20/2014,165,162,1,1,0.0667,0.2652,0.6681,0,1
11667,1,2019,8/24/2019,90,81,1,3,0.1537,0.1778,0.6685,1,1
15362,3,2020,3/12/2021,121,130,3,1,0.1299,0.2016,0.6685,0,0
16080,5,2020,4/17/2021,167,163,0,3,0.0919,0.2396,0.6685,0,1
10163,4,2018,1/27/2019,141,150,2,4,0.1358,0.1956,0.6686,1,3
12639,3,2019,5/23/2020,130,119,1,3,0.1652,0.1661,0.6687,0,1
407,1,2015,4/16/2016,72,74,1,1,0.0721,0.2592,0.6687,0,0
7365,1,2017,1/31/2018,72,75,2,1,0.1228,0.208,0.6692,2,0
11666,1,2019,8/24/2019,220,74,0,2,0.1192,0.2115,0.6693,0,0
7515,2,2017,8/26/2017,222,97,0,1,0.1171,0.2133,0.6696,0,0
1183,3,2015,1/29/2016,125,130,1,0,0.1238,0.2064,0.6698,1,0
4261,5,2016,4/30/2017,165,164,1,5,0.1483,0.1817,0.67,1,3
15894,5,2020,12/13/2020,225,180,2,2,0.1078,0.2222,0.67,0,1
6024,5,2014,1/25/2015,209,174,1,0,0.0794,0.2506,0.67,1,0
9742,2,2018,12/22/2018,99,112,1,1,0.0703,0.2597,0.67,1,0
1928,5,2015,9/20/2015,164,178,1,1,0.1183,0.2116,0.6701,0,1
3914,4,2016,1/27/2017,157,137,1,1,0.1169,0.213,0.6701,0,0
4579,1,2014,1/18/2015,88,83,0,2,0.0991,0.2308,0.6701,0,1
16022,5,2020,2/28/2021,235,168,1,1,0.0898,0.2399,0.6703,0,1
3125,1,2016,12/13/2016,73,75,1,0,0.0985,0.2309,0.6706,1,0
16128,5,2020,5/23/2021,210,171,0,0,0.0576,0.2716,0.6708,0,0
7743,2,2017,2/18/2018,107,110,1,1,0.083,0.2461,0.6709,1,1
7510,2,2017,8/26/2017,95,106,1,3,0.1292,0.1998,0.671,1,0
6173,5,2014,9/24/2014,165,161,0,2,0.1251,0.2038,0.6711,0,1
1662,4,2015,3/2/2016,137,146,1,2,0.0887,0.2401,0.6712,1,1
10703,5,2018,9/26/2018,224,163,2,1,0.1154,0.2127,0.6719,0,0
5909,5,2014,4/18/2015,171,163,1,1,0.1208,0.207,0.6722,1,0
14770,1,2020,5/13/2021,89,87,2,4,0.1547,0.173,0.6723,1,2
2055,5,2015,12/19/2015,172,171,0,0,0.0782,0.2493,0.6725,0,0
2008,5,2015,11/23/2015,175,164,0,2,0.1125,0.2149,0.6726,0,1
9324,1,2018,11/25/2018,73,83,1,2,0.1067,0.2207,0.6726,1,1
10431,3,2018,11/10/2018,123,130,1,3,0.1565,0.1708,0.6727,0,1
1173,3,2015,12/20/2015,130,127,3,2,0.1281,0.1992,0.6727,1,1
11868,1,2019,1/18/2020,86,80,1,0,0.1176,0.2097,0.6727,0,0
8446,3,2017,2/3/2018,131,133,1,1,0.115,0.2123,0.6727,1,0
8789,5,2017,1/27/2018,180,170,2,1,0.0959,0.2314,0.6727,0,0
2017,5,2015,11/29/2015,176,165,1,4,0.1094,0.2178,0.6728,0,1
335,1,2015,2/13/2016,78,90,1,2,0.1024,0.2248,0.6728,1,1
7724,2,2017,2/4/2018,222,105,0,2,0.1236,0.2033,0.6731,0,1
1478,4,2015,10/19/2015,149,155,3,3,0.1308,0.1959,0.6733,1,2
14195,5,2020,9/13/2020,179,210,2,3,0.0819,0.2448,0.6733,1,2
13137,2,2019,9/25/2019,221,243,1,3,0.1128,0.2138,0.6734,1,1
233,1,2015,12/12/2015,77,90,0,1,0.1156,0.2107,0.6737,0,1
1750,4,2015,4/30/2016,140,150,0,1,0.0967,0.2294,0.6739,0,0
4497,1,2014,3/14/2015,77,71,0,4,0.0935,0.2324,0.6741,0,4
14124,2,2020,9/26/2020,116,96,0,2,0.1028,0.223,0.6742,0,1
10581,3,2018,4/6/2019,124,132,1,2,0.1027,0.2229,0.6744,1,1
1318,3,2015,5/14/2016,121,118,1,3,0.1107,0.2145,0.6748,1,1
717,2,2015,12/20/2015,113,99,0,1,0.0942,0.231,0.6748,0,1
9608,2,2018,9/16/2018,108,96,0,1,0.133,0.1917,0.6753,0,0
14543,1,2020,12/6/2020,76,78,1,5,0.1028,0.2216,0.6756,1,1
3296,2,2016,10/30/2016,108,95,0,0,0.0738,0.2502,0.676,0,0
12681,3,2019,6/13/2020,205,123,1,5,0.1245,0.1993,0.6762,0,3
848,2,2015,3/20/2016,104,99,1,1,0.1169,0.2067,0.6764,0,1
10069,4,2018,11/10/2018,143,147,3,2,0.0825,0.2411,0.6764,0,1
15334,3,2020,2/20/2021,124,129,0,4,0.1083,0.2151,0.6766,0,2
5394,3,2014,10/18/2014,128,130,0,3,0.1003,0.2231,0.6766,0,1
12036,4,2019,8/25/2019,159,143,0,1,0.08,0.2433,0.6767,0,0
12035,4,2019,8/23/2019,155,138,0,1,0.0826,0.2406,0.6768,0,0
14682,1,2020,2/20/2021,74,80,1,1,0.0713,0.2519,0.6768,1,0
5088,2,2014,10/20/2014,101,108,1,1,0.0905,0.2326,0.6769,1,0
9527,1,2018,4/15/2019,90,83,0,1,0.1151,0.2079,0.677,0,1
5632,4,2014,2/21/2015,139,152,0,2,0.0769,0.2461,0.677,0,0
7658,2,2017,12/10/2017,99,222,2,0,0.0865,0.2362,0.6773,2,0
1248,3,2015,3/12/2016,126,133,3,3,0.1519,0.1707,0.6774,1,1
15226,3,2020,12/6/2020,124,119,0,3,0.1194,0.2032,0.6774,0,1
719,2,2015,12/20/2015,106,96,1,2,0.0703,0.2523,0.6774,0,1
7704,2,2017,1/21/2018,116,111,1,2,0.112,0.2105,0.6775,1,2
12687,3,2019,6/16/2020,123,117,0,1,0.0648,0.2575,0.6777,0,1
